channelId,channelName,umbrellaLabel,score,margin,top3
UCdQ_ZkYaMe6qPoueUyPQgpQ,"Photoshop Training Channel","Photography",1.0236,0.9644,"Photography:1.024|Film & TV:0.059|Tech:0.021"
UChYbZdv4UApRyuAwCKMVuYg,"Pixel Film Studios","Unclassified",0.1245,0.0071,"Film & TV:0.124|Tech:0.117|Video Editing:0.027"
UCtrdEiQnaRrmseXgggjt3Dw,"Plaid Crafts","Unclassified",0.0414,0.0047,"Photography:0.041|Tech:0.037|AI:0.033"
UCnA2IGSh8jOPPiz20oamKzA,"Planet Fitness Beginner","Unclassified",0.1847,0.1385,"Health:0.185|Film & TV:0.046|AI:0.000"
UC-MEgsEcEkbSuPWpu4a-PzQ,"Plini","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCKRoXz3hHAu2XL_k3Ef4vJQ,"Pod Save America","Unclassified",0.0765,0.0275,"Construction:0.077|Music:0.049|Coding:0.046"
UCDe08Fs0s0YKJuk5h45csAQ,"Polyphia","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCSiPjfAJBgbFlIUsxOWpK0w,"PomplamooseMusic","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCbU6Rve0XMNZ2a2yaYgjlTA,"Pondering Politics","Unclassified",0.0609,0.0609,"News:0.061|AI:0.000|Video Editing:0.000"
UCaw4VmRW8SfygV2u044OpoQ,"POP PSYCH","Unclassified",0.0339,0.0014,"Photography:0.034|Construction:0.032|Tech:0.030"
UC9OFhiq5cs10XYGDwBO_7xg,"Porcupine Tree","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCWSRFubEPtc-EvqNChdc-ZQ,"Portal Joss Stone","Unclassified",0.0342,0.0342,"Coding:0.034|AI:0.000|Video Editing:0.000"
UCrZ58f5yvy0HQ9hm-hZ1H_g,"Portland Life","Unclassified",0.0503,0,"Business:0.050|Gaming:0.050|Film & TV:0.030"
UCMOqf8ab-42UUQIdVoKwjlQ,"Practical Engineering","Unclassified",0.0932,0.0448,"AI:0.093|Film & TV:0.048|Video Editing:0.000"
UCZa-aF5az5nT4PL4XecbCNw,"Primal Investor","Unclassified",0.0741,0.0741,"3D Printing:0.074|AI:0.000|Video Editing:0.000"
UClyyA0EAUcQ34b7jdFn1m_Q,"ProCamera","Unclassified",0.0422,0.0048,"Woodworking:0.042|Tech:0.037|AI:0.000"
